epoch,train_loss,val_loss,val_miou,val_f1,lr
1,2.1640,1.9084,0.0344,0.0432,1.97e-04
2,1.8322,1.7518,0.0370,0.0480,1.87e-04
3,1.7142,1.6927,0.0478,0.0613,1.71e-04
4,1.6616,1.6801,0.0491,0.0587,1.50e-04
5,1.6435,1.6740,0.0490,0.0602,1.26e-04
6,1.6273,1.6726,0.0459,0.0530,1.01e-04
7,1.6150,1.6678,0.0456,0.0570,7.47e-05
8,1.5984,1.6691,0.0452,0.0522,5.08e-05
9,1.5805,1.6619,0.0458,0.0565,3.01e-05
10,1.5673,1.6723,0.0450,0.0525,1.43e-05
11,1.5555,1.6854,0.0424,0.0482,4.39e-06
12,1.5456,1.6883,0.0424,0.0486,1.00e-06
